iter	MultiClass
0	2.665919275
1	2.582247807
2	2.512674874
3	2.473833529
4	2.421733665
5	2.383434933
6	2.323484465
7	2.292928838
8	2.235987423
9	2.19458785
10	2.175475994
11	2.145934662
12	2.123930981
13	2.094161621
14	2.06491848
15	2.048002421
16	2.029302877
17	1.997102453
18	1.974487136
19	1.945965594
20	1.921989725
21	1.903082527
22	1.884002138
23	1.861194353
24	1.845369448
25	1.825701518
26	1.80590056
27	1.795728582
28	1.772920883
29	1.748414504
30	1.73570233
31	1.716931234
32	1.700417722
33	1.678827192
34	1.666657304
35	1.651491856
36	1.641996705
37	1.633490498
38	1.617681717
39	1.593842289
40	1.582689226
41	1.572158082
42	1.559121528
43	1.538158185
44	1.527702973
45	1.519862713
46	1.502974003
47	1.495390882
48	1.478075297
49	1.460079317
50	1.443099373
51	1.429575307
52	1.416098551
53	1.397953894
54	1.385063584
55	1.371084528
56	1.364153575
57	1.350485639
58	1.341889928
59	1.329494188
60	1.313063975
61	1.297634826
62	1.284453756
63	1.27025044
64	1.262444015
65	1.254111217
66	1.23683544
67	1.225032773
68	1.216944821
69	1.207004045
70	1.20270951
71	1.195283273
72	1.186397415
73	1.182567914
74	1.175166532
75	1.169972842
76	1.164281382
77	1.16257142
78	1.155088024
79	1.151350073
80	1.147021604
81	1.14160312
82	1.134642801
83	1.132944455
84	1.130241738
85	1.12577259
86	1.120935345
87	1.120405425
88	1.113500654
89	1.105202881
90	1.101405351
91	1.099165327
92	1.093585966
93	1.092733016
94	1.083564748
95	1.078429475
96	1.07625226
97	1.071868415
98	1.064311503
99	1.059091753
