iter	Passed	Remaining
0	296	29351
1	460	22557
2	606	19623
3	724	17385
4	874	16622
5	1023	16028
6	1166	15500
7	1297	14922
8	1457	14732
9	1608	14480
10	1739	14075
11	1889	13853
12	2015	13487
13	2157	13255
14	2329	13201
15	2446	12843
16	2570	12552
17	2721	12398
18	2873	12249
19	2999	11999
20	3145	11831
21	3287	11654
22	3418	11445
23	3561	11279
24	3700	11100
25	3826	10890
26	3964	10719
27	4077	10486
28	4251	10407
29	4402	10273
30	4520	10060
31	4654	9891
32	4804	9754
33	4951	9612
34	5085	9443
35	5224	9287
36	5338	9089
37	5457	8903
38	5582	8731
39	5743	8615
40	5861	8435
41	5988	8269
42	6121	8113
43	6258	7965
44	6383	7801
45	6503	7634
46	6645	7493
47	6756	7319
48	6898	7180
49	7052	7052
50	7206	6923
51	7357	6791
52	7486	6638
53	7615	6487
54	7751	6341
55	7903	6210
56	8018	6049
57	8154	5905
58	8272	5748
59	8402	5601
60	8541	5461
61	8707	5337
62	8848	5196
63	8997	5060
64	9129	4916
65	9263	4772
66	9444	4651
67	9604	4519
68	9730	4371
69	9857	4224
70	9974	4074
71	10092	3924
72	10243	3788
73	10347	3635
74	10468	3489
75	10590	3344
76	10728	3204
77	10832	3055
78	10967	2915
79	11091	2772
80	11197	2626
81	11334	2487
82	11457	2346
83	11561	2202
84	11667	2058
85	11806	1921
86	11930	1782
87	12038	1641
88	12162	1503
89	12314	1368
90	12432	1229
91	12544	1090
92	12663	953
93	12771	815
94	12936	680
95	13060	544
96	13169	407
97	13296	271
98	13457	135
99	13573	0
